time_s,phase,policy,spin_policy_loaded,x_m,y_m,trunk_z_m,forward_mps,lateral_mps,planar_speed_mps,jaw_z_m,head_pitch_rad,yaw_rate_radps,yaw_delta_deg,upright_score
0.0,settle,walking,True,-1.8000508072430308,-0.65005543104513,0.13852832073769614,-0.003242097545525015,-0.004730662812328435,0.00573501239219642,0.2510943633040576,0.35056192007883846,0.2315130758705035,0.17744450058845446,0.9999871850013733
0.02,settle,walking,True,-1.800109074765085,-0.650209256651242,0.13762434234109286,-0.0006395152027248315,-0.009747726265837312,0.00976868195040717,0.25026226449830996,0.3503730618291564,0.326148349988744,0.5158834192658556,0.9998056888580322
0.04,settle,walking,True,-1.7999947980225852,-0.6504264284799757,0.13550654032941373,0.016179087326753307,-0.011331999822641221,0.019752900716275827,0.24809013102327626,0.3452573931026519,0.30891658360083546,0.848450266064897,0.9992592334747314
0.06,settle,walking,True,-1.7996150328572489,-0.6505513428616956,0.13229110405005381,0.032703111725636676,-0.005649194380253691,0.03318745114776615,0.24465948289563397,0.33516716016824893,0.28716370932046326,1.2083038195593403,0.9983639717102051
0.08,settle,walking,True,-1.7991177908006806,-0.6505042658847884,0.1283815985539504,0.041858635823770834,0.0027611401911340513,0.04194960414809855,0.24043762942390598,0.3228342858191362,0.11722645242297625,1.4209548884091587,0.9972734451293945
0.1,settle,walking,True,-1.7987943117823453,-0.6505714697364393,0.12449517552619882,0.02887293472773666,-0.009206414835173506,0.03030518823418598,0.23620406131826135,0.3124672108613949,-0.3932728220761582,1.1423174989448124,0.9962422251701355
0.12,settle,walking,True,-1.7985910969149306,-0.65073341773882,0.12107634460318198,0.02451056698121877,-0.010845906632581214,0.026803014465232842,0.2325711549846723,0.30657863655565254,-0.416024367192258,0.6615008139236708,0.9954997301101685
0.14,settle,walking,True,-1.7983873110523092,-0.650868089412419,0.11850942143136149,0.0241256004037886,-0.004125465549742395,0.024475785193643858,0.22989654879462218,0.3055407465406643,-0.17167059980760582,0.3155972051956365,0.9951348900794983
0.16,settle,walking,True,-1.7981628553030373,-0.6509337866276217,0.11699285264950114,0.01565119887176786,-0.0039052647673063095,0.016131060691299614,0.2283429937791614,0.30827421793066073,-0.06375422784831003,0.18569498845711419,0.9950920939445496
0.18,settle,walking,True,-1.7979972316493689,-0.6509693218523936,0.11645186401568769,0.008497589700339259,-0.0011265061656408472,0.00857193367079673,0.22790629722189706,0.31386525301262047,0.06582046553458526,0.2058758053993855,0.9952611327171326
0.2,settle,walking,True,-1.7978903751140325,-0.6509617185323745,0.11660677624587734,0.002522619945824222,0.0013701572550543547,0.0028707041461370213,0.22826149369898133,0.32095482982557894,0.15081003006994298,0.34334060176318654,0.9955434203147888
0.22,settle,walking,True,-1.7978497000178382,-0.6509138507948103,0.11720105906552507,-0.0021813099537681775,0.003802233874819233,0.00438350265806136,0.22909826429133345,0.32819578408766764,0.18293455127550992,0.5381515372761236,0.9958482980728149
0.24,settle,walking,True,-1.7978521847355622,-0.6508226711433138,0.11801248412626159,-0.003991145112553626,0.006248188371433319,0.007414114730321837,0.23015049471127225,0.33436666251393754,0.17857349082204788,0.7439790242067493,0.9961168766021729
